t,total,aqi,phase,phase_state,A,B,C,D,ab_flow,cd_flow
1686,86,130,CD,green,22,24,23,17,35,76
1687,0,130,CD,green,0,0,0,0,35,76
1688,89,130,CD,green,23,25,22,19,35,76
1689,0,130,CD,yellow,0,0,0,0,35,76
1690,87,130,CD,yellow,21,22,23,21,35,76
1691,0,130,CD,all_red,0,0,0,0,35,76
1692,90,130,AB_TURN,green,21,23,27,19,35,76
1693,0,130,AB_TURN,green,0,0,0,0,35,76
1694,94,130,AB_TURN,green,21,27,23,23,35,76
1695,0,130,AB_TURN,green,0,0,0,0,35,76
1696,85,130,AB_TURN,green,23,23,21,18,35,76
1697,0,130,AB_TURN,green,0,0,0,0,35,76
1698,88,130,AB_TURN,green,21,24,23,20,35,76
1699,0,130,AB_TURN,green,0,0,0,0,35,76
1700,89,130,AB_TURN,green,22,22,22,23,35,76
1701,0,130,AB_TURN,green,0,0,0,0,35,76
1702,93,130,AB_TURN,green,23,23,26,21,35,76
1703,0,130,AB_TURN,green,0,0,0,0,35,76
1704,94,130,AB_TURN,green,24,28,23,19,35,76
1705,0,130,AB_TURN,green,0,0,0,0,35,76
1706,102,130,AB_TURN,green,24,28,27,23,35,76
1707,0,130,AB_TURN,green,0,0,0,0,35,76
1708,104,130,AB_TURN,green,26,27,27,24,35,76
1709,0,130,AB_TURN,green,0,0,0,0,35,76
1710,92,130,AB_TURN,green,25,27,20,20,35,76
1711,0,130,AB_TURN,green,0,0,0,0,35,76
1712,91,130,AB_TURN,green,23,25,19,24,35,76
1713,0,130,AB_TURN,green,0,0,0,0,35,76
1714,87,130,AB_TURN,green,24,22,21,20,35,76
1715,0,130,AB_TURN,green,0,0,0,0,35,76
1716,90,130,AB_TURN,green,22,24,22,22,35,76
1717,0,130,AB_TURN,green,0,0,0,0,35,76
1718,92,130,AB_TURN,green,23,25,21,23,35,76
1719,0,130,AB_TURN,green,0,0,0,0,35,76
1720,89,130,AB_TURN,green,24,25,19,21,35,76
1721,0,130,AB_TURN,green,0,0,0,0,35,76
1722,87,130,AB_TURN,yellow,22,24,20,21,35,76
1723,0,130,AB_TURN,all_red,0,0,0,0,35,76
1724,86,130,AB_TURN,all_red,22,23,20,21,35,76
1725,0,130,CD,green,0,0,0,0,35,76
1726,92,130,CD,green,23,23,23,23,35,76
1727,0,130,CD,green,0,0,0,0,35,76
1728,89,130,CD,green,22,24,22,21,35,76
1729,0,130,CD,green,0,0,0,0,35,76
1730,93,130,CD,green,25,24,22,22,35,76
1731,0,130,CD,green,0,0,0,0,35,76
1732,94,130,CD,green,23,24,24,23,35,76
1733,0,130,CD,green,0,0,0,0,35,76
1734,97,130,CD,green,22,26,25,24,35,76
1735,0,130,CD,green,0,0,0,0,35,76
1736,93,130,CD,green,22,24,23,24,35,76
1737,0,130,CD,green,0,0,0,0,35,76
1738,101,130,CD,green,22,28,25,26,35,76
1739,0,130,CD,green,0,0,0,0,35,76
1740,97,130,CD,green,24,26,22,25,35,76
1741,0,130,CD,green,0,0,0,0,35,76
1742,92,130,CD,green,25,21,23,23,35,76
1743,0,130,CD,green,0,0,0,0,35,76
1744,97,130,CD,green,26,25,22,24,35,76
1745,0,130,CD,green,0,0,0,0,35,76
1746,94,130,CD,green,23,26,23,22,35,76
1747,0,130,CD,green,0,0,0,0,35,76
1748,98,130,CD,green,23,28,24,23,35,76
1749,0,130,CD,green,0,0,0,0,35,76
1750,95,130,CD,green,24,24,23,24,35,76
1751,0,130,CD,green,0,0,0,0,35,76
1752,96,130,CD,green,25,25,24,22,35,76
1753,0,130,CD,yellow,0,0,0,0,35,76
1754,94,130,CD,yellow,23,24,25,22,35,76
1755,0,130,CD,yellow,0,0,0,0,35,76
1756,99,130,CD,yellow,24,26,26,23,35,76
1757,0,130,CD,all_red,0,0,0,0,35,76
1758,98,130,CD,all_red,25,25,26,22,35,76
1759,0,130,AB_TURN,green,0,0,0,0,35,76
1760,105,130,AB_TURN,green,23,29,28,25,35,76
1761,0,130,AB_TURN,green,0,0,0,0,35,76
1762,98,130,AB_TURN,green,26,25,24,23,35,76
1763,0,130,AB_TURN,green,0,0,0,0,35,76
1764,102,130,AB_TURN,green,27,26,27,22,35,76
1765,0,130,AB_TURN,green,0,0,0,0,35,76
1766,96,130,AB_TURN,green,25,26,23,22,35,76
1767,0,130,AB_TURN,green,0,0,0,0,35,76
1768,101,130,AB_TURN,green,26,27,26,22,35,76
1769,0,130,AB_TURN,green,0,0,0,0,35,76
1770,104,130,AB_TURN,green,26,28,26,24,35,76
1771,0,130,AB_TURN,green,0,0,0,0,35,76
1772,100,130,AB_TURN,green,24,25,26,25,35,76
1773,0,130,AB_TURN,green,0,0,0,0,35,76
1774,101,130,AB_TURN,green,23,27,25,26,35,76
1775,0,130,AB_TURN,green,0,0,0,0,35,76
1776,94,130,AB_TURN,green,23,26,22,23,35,76
1777,0,130,AB_TURN,green,0,0,0,0,35,76
1778,96,130,AB_TURN,green,23,28,22,23,35,76
1779,0,130,AB_TURN,green,0,0,0,0,35,76
1780,96,130,AB_TURN,green,23,26,23,24,35,76
1781,0,130,AB_TURN,green,0,0,0,0,35,76
1782,98,130,AB_TURN,green,25,27,21,25,35,76
1783,0,130,AB_TURN,green,0,0,0,0,35,76
1784,97,130,AB_TURN,green,27,26,21,23,35,76
1785,0,130,AB_TURN,green,0,0,0,0,35,76
1786,94,130,AB_TURN,green,24,25,21,24,35,76
1787,0,130,AB_TURN,green,0,0,0,0,35,76
1788,96,130,AB_TURN,green,23,26,22,25,35,76
1789,0,130,AB_TURN,green,0,0,0,0,35,76
1790,92,130,AB_TURN,green,23,26,20,23,35,76
1791,0,130,AB_TURN,green,0,0,0,0,35,76
1792,98,130,AB_TURN,green,23,27,22,26,35,76
1793,0,130,AB_TURN,yellow,0,0,0,0,35,76
1794,99,130,AB_TURN,yellow,24,25,23,27,35,76
1795,0,130,AB_TURN,all_red,0,0,0,0,35,76
1796,99,130,AB_TURN,all_red,24,25,25,25,35,76
1797,0,130,CD,green,0,0,0,0,35,76
1798,97,130,CD,green,24,22,25,26,35,76
1799,0,130,CD,green,0,0,0,0,35,76
1800,97,130,CD,green,24,23,24,26,35,76
1801,0,130,CD,green,0,0,0,0,35,76
1802,96,130,CD,green,24,23,25,24,35,76
1803,0,130,CD,green,0,0,0,0,35,76
1804,91,130,CD,green,23,22,23,23,35,76
1805,0,130,CD,green,0,0,0,0,35,76
1806,88,130,CD,green,22,21,22,23,35,76
1807,0,130,CD,green,0,0,0,0,35,76
1808,91,130,CD,green,22,24,22,23,35,76
1809,0,130,CD,green,0,0,0,0,35,76
1810,98,130,CD,green,25,26,24,23,35,76
1811,0,130,CD,green,0,0,0,0,35,76
1812,105,130,CD,green,25,30,25,25,35,76
1813,0,130,CD,green,0,0,0,0,35,76
1814,106,130,CD,green,27,27,25,27,35,76
1815,0,130,CD,green,0,0,0,0,35,76
1816,104,130,CD,green,25,29,26,24,35,76
1817,0,130,CD,green,0,0,0,0,35,76
1818,98,130,CD,green,25,25,25,23,35,76
1819,0,130,CD,green,0,0,0,0,35,76
1820,94,130,CD,green,23,24,24,23,35,76
1821,0,130,CD,green,0,0,0,0,35,76
1822,91,130,CD,green,22,22,24,23,35,76
1823,0,130,CD,green,0,0,0,0,35,76
1824,90,130,CD,green,21,21,24,24,35,76
1825,0,130,CD,green,0,0,0,0,35,76
1826,95,130,CD,green,24,24,23,24,35,76
1827,0,130,CD,green,0,0,0,0,35,76
1828,93,130,CD,green,21,23,25,24,35,76
1829,0,130,CD,green,0,0,0,0,35,76
1830,91,130,CD,green,20,23,24,24,35,76
1831,0,130,CD,green,0,0,0,0,35,76
1832,89,130,CD,green,19,22,24,24,35,76
1833,0,130,CD,green,0,0,0,0,35,76
